代码,名称,信号日期,选股逻辑,初始价,当前价,累计涨跌%,3天胜,7天胜,至今胜
002664,信质集团,2025-12-04,放量,22.93,23.06,0.57,1,0,1
603009,北特科技,2025-12-04,常规,40.76,43.58,6.92,1,1,1
001212,中旗新材,2025-12-04,常规,43.72,54.23,24.04,1,1,1
603486,科沃斯,2025-12-04,放量,79.88,80.98,1.38,1,0,1
603567,珍宝岛,2025-12-04,超跌+筑底,10.06,9.73,-3.28,1,0,0
605198,安德利,2025-12-04,常规,38.78,36.66,-5.47,0,0,0
603266,天龙股份,2025-12-04,常规,20.07,22.16,10.41,1,1,1
600079,人福医药,2025-12-04,超跌+筑底,18.74,18.85,0.59,0,0,1
002403,爱仕达,2025-12-04,放量,13.08,12.35,-5.58,1,0,0
600436,片仔癀,2025-12-04,超跌+筑底,168.75,170.24,0.88,1,1,1
600405,动力源,2025-12-04,常规,5.39,5.18,-3.9,1,0,0
603590,康辰药业,2025-12-04,放量,44.96,40.46,-10.01,0,0,0
002102,能特科技,2025-12-04,超跌+筑底+放量,3.53,3.36,-4.82,1,1,0
002541,鸿路钢构,2025-12-04,超跌+筑底,16.43,16.09,-2.07,0,0,0
001395,亚联机械,2025-12-04,常规,43.87,45.38,3.44,1,1,1
601615,明阳智能,2025-12-04,常规,13.19,14.73,11.68,1,1,1
603949,雪龙集团,2025-12-04,筑底+放量,18.24,18.17,-0.38,1,0,0
002543,万和电气,2025-12-04,筑底,10.71,10.08,-5.88,0,0,0
603416,信捷电气,2025-12-04,常规,54.0,54.38,0.7,1,1,1
601162,天风证券,2025-12-19,筑底,4.21,4.24,0.71,0,1,1
603867,新化股份,2025-12-19,筑底,24.85,25.1,1.01,0,1,1
603255,鼎际得,2025-12-19,超跌+筑底,29.5,29.56,0.2,1,1,1
600779,水井坊,2025-12-19,筑底+放量,36.56,39.8,8.86,0,1,1
002062,宏润建设,2025-12-19,筑底,9.12,9.12,0.0,0,0,0
000831,中国稀土,2025-12-19,常规,45.15,46.48,2.95,1,1,1
002145,钛能化学,2025-12-19,常规,4.87,4.91,0.82,1,1,1
603786,科博达,2025-12-19,放量,72.72,75.81,4.25,0,1,1
603722,阿科力,2025-12-19,超跌+筑底,37.19,37.8,1.64,0,1,1
603630,拉芳家化,2025-12-19,常规,20.61,20.23,-1.84,0,0,0
605588,冠石科技,2025-12-19,常规,49.37,52.0,5.33,1,1,1
603086,先达股份,2025-12-19,常规,8.17,8.26,1.1,1,1,1
600422,昆药集团,2025-12-19,超跌+筑底,12.46,12.66,1.61,0,1,1
603859,能科科技,2025-12-19,常规,39.26,39.36,0.25,0,1,1
002542,中化岩土,2025-12-19,筑底,3.38,3.41,0.89,0,1,1
302132,中航成飞,2025-12-19,常规,76.69,78.65,2.56,0,1,1
605259,绿田机械,2025-12-19,常规,21.43,22.42,4.62,1,1,1
002488,金固股份,2025-12-11,放量,8.36,8.8,5.26,0,0,1
600383,金地集团,2025-12-11,筑底,3.17,3.12,-1.58,0,0,0
000002,万  科Ａ,2025-12-11,放量,5.07,4.79,-5.52,0,0,0
600375,汉马科技,2025-12-11,筑底,6.03,5.87,-2.65,0,0,0
000799,酒鬼酒,2025-12-11,筑底,54.11,57.02,5.38,1,1,1
600079,人福医药,2025-12-11,超跌+筑底,17.73,18.85,6.32,0,1,1
600048,保利发展,2025-12-11,筑底,6.42,6.26,-2.49,0,0,0
600325,华发股份,2025-12-11,常规,4.42,4.34,-1.81,0,0,0
603630,拉芳家化,2025-12-11,常规,20.4,20.23,-0.83,0,1,0
600481,双良节能,2025-12-11,常规,5.56,5.83,4.86,1,0,1
603373,安邦护卫,2025-12-11,放量,41.0,38.05,-7.2,0,0,0
002177,御银股份,2025-12-11,常规,6.53,7.06,8.12,1,1,1
600395,盘江股份,2025-12-11,超跌+筑底+放量,4.65,4.75,2.15,0,0,1
002918,蒙娜丽莎,2025-12-11,常规,13.86,14.0,1.01,1,1,1
000526,学大教育,2025-12-11,放量,38.01,38.91,2.37,0,1,1
600976,健民集团,2025-12-11,超跌+筑底,35.61,35.5,-0.31,0,0,0
000006,深振业Ａ,2025-12-11,常规,10.0,10.19,1.9,0,0,1
002094,青岛金王,2025-12-10,超跌,7.17,7.23,0.84,0,0,1
000995,皇台酒业,2025-12-11,放量,12.47,12.96,3.93,1,1,1
000989,九芝堂,2025-12-11,筑底,9.09,8.91,-1.98,0,0,0
600192,长城电工,2025-12-11,常规,8.89,9.45,6.3,1,1,1
600153,建发股份,2025-12-11,常规,9.5,9.59,0.95,1,0,1
002797,第一创业,2025-12-11,常规,6.89,6.98,1.31,1,1,1
603337,杰克科技,2025-11-28,常规,38.72,40.52,4.65,1,1,1
605333,沪光股份,2025-11-28,筑底,29.3,29.7,1.37,1,1,1
603680,今创集团,2025-11-28,常规,10.58,16.29,53.97,0,1,1
603501,豪威集团,2025-11-28,缩量,119.0,127.13,6.83,1,1,1
600498,烽火通信,2025-11-28,常规,22.86,27.87,21.92,1,1,1
601636,旗滨集团,2025-11-28,筑底+放量,6.1,6.1,0.0,1,0,0
603341,龙旗科技,2025-11-28,常规,40.29,42.57,5.66,1,1,1
603701,德宏股份,2025-11-28,缩量,17.55,20.58,17.26,1,1,1
603256,宏和科技,2025-11-28,常规,32.13,38.16,18.77,1,1,1
000002,万  科Ａ,2025-12-12,常规,5.02,4.79,-4.58,0,0,0
000029,深深房Ａ,2025-12-12,常规,23.3,23.1,-0.86,0,1,0
600325,华发股份,2025-12-12,筑底+放量,4.41,4.34,-1.59,0,0,0
600048,保利发展,2025-12-12,筑底,6.42,6.26,-2.49,0,0,0
605377,华旺科技,2025-12-12,超跌+筑底+放量,7.76,8.7,12.11,1,1,1
603630,拉芳家化,2025-12-11,常规,20.4,20.23,-0.83,0,1,0
002180,纳思达,2025-12-12,放量,18.62,19.39,4.14,1,1,1
600985,淮北矿业,2025-12-12,超跌+筑底+放量,11.35,11.25,-0.88,0,1,0
600079,人福医药,2025-12-12,超跌+筑底,18.15,18.85,3.86,0,1,1
600548,深高速,2025-12-12,超跌+筑底+放量,8.88,8.92,0.45,1,1,1
002017,东信和平,2025-12-12,常规,20.91,21.6,3.3,1,1,1
600395,盘江股份,2025-12-12,超跌+筑底,4.62,4.75,2.81,0,1,1
600976,健民集团,2025-12-12,超跌+筑底+放量,35.2,35.5,0.85,0,1,1
600967,内蒙一机,2025-12-12,筑底+放量,16.42,16.34,-0.49,0,0,0
000932,华菱钢铁,2025-12-12,超跌+筑底+放量,5.37,5.65,5.21,0,1,1
601865,福莱特,2025-12-12,筑底+放量,15.57,16.05,3.08,0,1,1
001289,龙源电力,2025-12-12,超跌+筑底+放量,15.33,15.29,-0.26,0,0,0
000524,岭南控股,2025-12-12,常规,12.02,12.28,2.16,0,1,1
000995,皇台酒业,2025-12-12,常规,12.27,12.96,5.62,1,1,1
002867,周大生,2025-12-12,超跌+筑底+放量,11.95,12.21,2.18,0,1,1
603806,福斯特,2025-12-12,放量,13.87,14.05,1.3,0,0,1
600007,中国国贸,2025-12-12,超跌+筑底+放量,18.76,19.53,4.1,1,1,1
600500,中化国际,2025-12-12,筑底,3.84,3.96,3.13,0,1,1
601216,君正集团,2025-12-12,筑底,4.74,4.83,1.9,1,1,1
002488,金固股份,2025-12-10,常规,8.35,8.8,5.39,1,0,1
601162,天风证券,2025-12-09,超跌+筑底,4.29,4.24,-1.17,0,0,0
000002,万  科Ａ,2025-12-10,筑底+放量,5.25,4.79,-8.76,0,0,0
605050,福然德,2025-12-10,放量,13.12,13.26,1.07,0,0,1
600383,金地集团,2025-12-10,筑底+放量,3.32,3.12,-6.02,0,0,0
600375,汉马科技,2025-12-10,筑底+放量,6.17,5.87,-4.86,0,0,0
002568,百润股份,2025-12-10,超跌+筑底+放量,21.75,21.6,-0.69,0,0,0
603275,众辰科技,2025-12-10,放量,42.18,42.61,1.02,0,0,1
603630,拉芳家化,2025-12-10,放量,20.7,20.23,-2.27,0,0,0
000799,酒鬼酒,2025-12-10,放量,56.06,57.02,1.71,0,0,1
600325,华发股份,2025-12-10,放量,4.54,4.34,-4.41,0,0,0
002857,三晖电气,2025-12-10,常规,20.15,20.8,3.23,0,1,1
600708,光明地产,2025-12-10,超跌+筑底,3.32,3.25,-2.11,0,0,0
002179,中航光电,2025-12-10,超跌+筑底,33.32,34.89,4.71,0,1,1
603713,密尔克卫,2025-12-10,放量,53.78,55.7,3.57,0,1,1
600985,淮北矿业,2025-12-10,超跌+筑底,11.53,11.25,-2.43,0,1,0
603806,福斯特,2025-12-10,常规,13.83,14.05,1.59,1,0,1
600481,双良节能,2025-12-10,常规,5.71,5.83,2.1,0,0,1
002015,协鑫能科,2025-12-09,常规,9.96,10.25,2.91,0,1,1
600211,西藏药业,2025-12-10,常规,42.06,42.39,0.78,1,0,1
600779,水井坊,2025-12-10,超跌+筑底,38.2,39.8,4.19,0,0,1
603373,安邦护卫,2025-12-10,放量,42.22,38.05,-9.88,0,0,0
600048,保利发展,2025-12-10,放量,6.68,6.26,-6.29,0,0,0
603086,先达股份,2025-12-09,常规,8.23,8.26,0.36,0,0,1
000524,岭南控股,2025-12-10,放量,12.2,12.28,0.66,0,1,1
002918,蒙娜丽莎,2025-12-10,放量,14.09,14.0,-0.64,0,0,0
002177,御银股份,2025-12-10,常规,6.72,7.06,5.06,0,1,1
002094,青岛金王,2025-12-10,超跌,7.17,7.23,0.84,0,0,1
002648,卫星化学,2025-12-10,筑底,16.6,17.39,4.76,0,1,1
002674,兴业科技,2025-12-10,常规,13.23,13.87,4.84,0,1,1
002488,金固股份,2025-12-09,常规,8.54,8.8,3.04,0,0,1
000048,京基智农,2025-12-09,常规,13.35,14.79,10.79,0,0,1
601162,天风证券,2025-12-09,超跌+筑底,4.29,4.24,-1.17,0,0,0
600603,广汇物流,2025-12-08,常规,6.86,6.61,-3.64,0,0,0
000029,深深房Ａ,2025-12-09,放量,24.31,23.1,-4.98,0,0,0
002527,新时达,2025-12-09,常规,15.9,15.34,-3.52,0,0,0
000617,中油资本,2025-12-09,常规,9.06,9.54,5.3,0,0,1
002048,宁波华翔,2025-12-09,放量,28.6,29.3,2.45,1,0,1
000526,学大教育,2025-12-09,放量,37.89,38.91,2.69,1,0,1
002179,中航光电,2025-12-08,筑底,33.5,34.89,4.15,0,0,1
600211,西藏药业,2025-12-09,超跌,42.1,42.39,0.69,0,0,1
603713,密尔克卫,2025-12-09,放量,54.25,55.7,2.67,0,1,1
603985,恒润股份,2025-12-09,放量,14.32,15.14,5.73,1,1,1
002015,协鑫能科,2025-12-09,常规,9.96,10.25,2.91,0,1,1
002857,三晖电气,2025-12-09,放量,20.4,20.8,1.96,0,1,1
603086,先达股份,2025-12-09,常规,8.23,8.26,0.36,0,0,1
603062,麦加芯彩,2025-12-09,常规,45.26,47.16,4.2,0,1,1
002648,卫星化学,2025-12-09,超跌+筑底+放量,16.5,17.39,5.39,0,1,1
600481,双良节能,2025-12-09,常规,5.76,5.83,1.22,0,0,1
002403,爱仕达,2025-12-08,常规,13.1,12.35,-5.73,1,0,0
002423,中粮资本,2025-12-09,常规,11.63,11.84,1.81,0,0,1
600266,城建发展,2025-12-09,常规,4.64,4.51,-2.8,0,0,0
603135,中重科技,2025-12-08,常规,9.59,9.15,-4.59,0,0,0
002945,华林证券,2025-12-09,超跌,14.66,14.4,-1.77,0,0,0
601519,大智慧,2025-12-09,常规,13.13,13.19,0.46,0,1,1
002537,海联金汇,2025-12-09,常规,8.04,8.96,11.44,0,1,1
002797,第一创业,2025-12-09,常规,6.87,6.98,1.6,1,1,1
601099,太平洋,2025-12-09,常规,4.11,4.14,0.73,0,1,1
600530,交大昂立,2025-12-09,常规,7.36,6.57,-10.73,1,0,0
603095,越剑智能,2025-12-08,超跌+筑底,14.27,16.25,13.88,1,0,1
000712,锦龙股份,2025-12-09,常规,12.68,12.12,-4.42,1,0,0
