Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
603032,德新科技,2026-04-24,22.97,5.03%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.35%, -3.44%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",19.74,19.03,1.08X
603187,海容冷链,2026-04-24,14.83,-2.88%,趋势: 高于MA20,14.71,15.62,1.16X
603305,旭升集团,2026-04-24,14.65,-1.81%,"形态: 两连阴 (-0.19%, -3.43%)",14.85,16.12,0.94X
600703,三安光电,2026-04-24,15.11,-2.58%,形态: 10日内有涨停 | 趋势: 高于MA20,12.73,14.96,0.98X
002706,良信股份,2026-04-24,10.35,-2.36%,"形态: 10日内有涨停 | 形态: 两连阴 (-0.28%, -1.30%) | 趋势: 高于MA20",10.19,10.91,0.57X
600356,恒丰纸业,2026-04-24,9.48,-0.73%,趋势: 高于MA20,9.10,9.32,0.76X
000686,东北证券,2026-04-24,8.31,0.12%,趋势: 高于MA20,8.21,8.59,1.12X
000007,全新好,2026-04-24,13.85,1.24%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),13.31,12.92,0.79X
603238,诺邦股份,2026-04-24,15.22,-2.37%,"量能: 放量 (1.81X) | 形态: 两连阴 (-1.12%, -1.83%)",15.71,17.25,1.81X
600099,林海股份,2026-04-24,11.57,2.75%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.26,11.14,1.48X
002783,凯龙股份,2026-04-24,9.6,-0.93%,趋势: 高于MA20,9.50,9.81,0.86X
002593,日上集团,2026-04-24,5.1,0.39%,"形态: 两连阴 (-0.96%, -1.93%)",5.33,5.64,0.94X
600996,贵广网络,2026-04-24,8.38,-2.33%,"形态: 两连阴 (-0.12%, -0.92%)",9.42,9.00,0.70X
601798,蓝科高新,2026-04-24,8.46,-6.52%,"量能: 放量 (2.25X) | 形态: 两连阴 (-0.33%, -0.98%)",9.12,9.40,2.25X
601233,桐昆股份,2026-04-24,20.27,-0.05%,趋势: 高于MA20,19.31,20.55,0.87X
600268,国电南自,2026-04-24,15.02,-4.15%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.68%, -0.89%)",15.16,14.33,0.80X
002877,智能自控,2026-04-24,8.75,-0.23%,"形态: 两连阴 (-0.56%, -1.90%)",8.79,9.34,1.13X
600106,重庆路桥,2026-04-24,6.04,-1.15%,趋势: 高于MA20,5.93,6.04,0.68X
601061,中信金属,2026-04-24,14.03,0.29%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.35,13.62,1.24X
002695,煌上煌,2026-04-24,11.44,0.35%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.03,11.03,0.68X
600736,苏州高新,2026-04-24,8.5,1.55%,量能: 放量 (2.95X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),6.44,6.66,2.95X
002105,信隆健康,2026-04-24,6.23,1.14%,"形态: 两连阴 (-1.42%, -1.12%)",6.33,6.89,1.31X
600722,金牛化工,2026-04-24,13.99,2.12%,量能: 放量 (1.86X) | 动量: 突破转强 (阳线上穿5/10),14.37,12.60,1.86X
601339,百隆东方,2026-04-24,8.52,3.27%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.70,7.28,1.17X
002427,尤夫股份,2026-04-24,6.23,-0.80%,"形态: 两连阴 (-0.47%, -1.88%)",6.32,7.00,0.95X
601279,英利汽车,2026-04-24,3.87,1.57%,"形态: 两连阴 (-0.77%, -1.04%)",4.02,4.30,1.12X
002204,大连重工,2026-04-24,6.81,-1.16%,趋势: 高于MA20,6.75,7.05,0.75X
600855,航天长峰,2026-04-24,18.83,-2.44%,"形态: 10日内有涨停 | 形态: 两连阴 (-0.89%, -3.74%) | 趋势: 高于MA20",18.35,18.96,0.52X
002810,山东赫达,2026-04-24,28.91,10.01%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.52%, -0.98%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",24.30,20.73,1.27X
000819,岳阳兴长,2026-04-24,16.6,-0.42%,形态: 10日内有涨停 | 趋势: 高于MA20,15.20,15.88,0.63X
603677,奇精机械,2026-04-24,15.71,2.28%,"形态: 两连阴 (-0.77%, -1.22%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",15.52,16.84,1.37X
002682,龙洲股份,2026-04-24,5.71,-2.23%,"形态: 两连阴 (-1.35%, -0.34%)",5.97,6.49,1.06X
002639,雪人集团,2026-04-24,18.04,-1.80%,"形态: 两连阴 (-2.43%, -4.72%)",19.20,20.04,0.63X
600367,红星发展,2026-04-24,22.67,0.93%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),21.37,21.63,0.74X
000967,盈峰环境,2026-04-24,12.95,-5.68%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,11.06,9.02,1.00X
002107,沃华医药,2026-04-24,7.55,0.13%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.45%, -0.53%) | 趋势: 高于MA20",7.30,7.10,0.63X
