Code,Name,Latest_Date,Latest_Close,Matched_Conditions,MA5,MA20,MA60,Volume_Ratio
600549,厦门钨业,2025-11-28,34.4,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.66X)",32.94,33.94,31.93,1.66X
601020,华钰矿业,2025-11-28,30.2,多头排列 (MA5>MA20>MA60),30.43,30.15,28.09,0.70X
600538,国发股份,2025-11-28,6.45,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",6.25,5.95,5.88,0.62X
603533,掌阅科技,2025-11-28,22.78,多头排列 (MA5>MA20>MA60),23.20,21.77,20.35,0.68X
600868,梅雁吉祥,2025-11-28,3.58,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.06X)",3.14,3.16,2.98,2.06X
605303,园林股份,2025-11-28,23.16,"价格强势 (高于MA5,MA20,MA60)",21.50,21.57,18.89,1.39X
600622,光大嘉宝,2025-11-28,3.19,多头排列 (MA5>MA20>MA60),3.20,3.08,2.99,0.64X
605133,嵘泰股份,2025-11-28,38.51,放量上涨 (2.59X),35.48,37.36,40.76,2.59X
603378,亚士创能,2025-11-28,6.94,放量上涨 (1.78X),6.88,7.32,6.60,1.78X
603155,新亚强,2025-11-28,19.61,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.68X)",18.48,17.62,16.52,1.68X
603125,常青科技,2025-11-28,17.22,多头排列 (MA5>MA20>MA60),17.50,16.92,16.91,0.43X
600409,三友化工,2025-11-28,6.25,"价格强势 (高于MA5,MA20,MA60)",6.02,6.10,5.87,0.91X
601668,中国建筑,2025-11-28,5.2,放量上涨 (1.57X),5.25,5.35,5.50,1.57X
603909,建发合诚,2025-11-28,12.91,"价格强势 (高于MA5,MA20,MA60)",12.33,12.44,11.45,1.00X
601595,上海电影,2025-11-28,31.68,多头排列 (MA5>MA20>MA60),32.37,30.65,29.93,0.71X
603091,众鑫股份,2025-11-28,75.1,"价格强势 (高于MA5,MA20,MA60)",72.65,74.71,74.09,1.23X
000070,特发信息,2025-11-27,14.44,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.02X)",12.59,10.31,10.35,2.02X
603326,我乐家居,2025-11-28,9.52,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",9.38,9.36,8.95,0.53X
603042,华脉科技,2025-11-28,16.52,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",16.31,16.07,15.84,0.52X
603327,福蓉科技,2025-11-28,9.95,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",9.92,9.47,9.46,0.61X
601702,华峰铝业,2025-11-28,18.13,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",17.58,17.53,17.28,0.55X
600689,上海三毛,2025-11-28,14.83,多头排列 (MA5>MA20>MA60),14.88,14.86,14.41,0.11X
603976,正川股份,2025-11-28,21.05,多头排列 (MA5>MA20>MA60),21.69,21.03,20.34,0.65X
605339,南侨食品,2025-11-28,19.42,多头排列 (MA5>MA20>MA60),20.35,18.77,17.74,0.59X
605060,联德股份,2025-11-28,36.17,放量上涨 (1.82X),34.56,36.37,30.54,1.82X
600499,科达制造,2025-11-28,13.4,"价格强势 (高于MA5,MA20,MA60)",12.84,12.98,12.25,1.17X
603103,横店影视,2025-11-28,16.61,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",16.55,16.36,16.31,0.26X
002349,精华制药,2025-11-27,8.12,"价格强势 (高于MA5,MA20,MA60)",7.91,7.92,7.58,1.01X
603315,福鞍股份,2025-11-28,15.15,"价格强势 (高于MA5,MA20,MA60)",14.51,14.66,13.87,1.28X
600078,澄星股份,2025-11-28,11.82,"价格强势 (高于MA5,MA20,MA60)",11.12,11.66,9.01,1.41X
600258,首旅酒店,2025-11-28,15.28,多头排列 (MA5>MA20>MA60),15.48,15.45,15.04,0.66X
605333,沪光股份,2025-11-28,29.3,放量上涨 (1.50X),28.74,29.65,33.02,1.50X
605555,德昌股份,2025-11-28,17.8,放量上涨 (1.60X),17.17,18.19,17.72,1.60X
601818,光大银行,2025-11-28,3.61,多头排列 (MA5>MA20>MA60),3.62,3.54,3.53,0.87X
600750,江中药业,2025-11-28,21.72,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",21.70,21.66,21.52,0.90X
603598,引力传媒,2025-11-28,18.25,多头排列 (MA5>MA20>MA60),18.49,17.55,16.98,0.58X
600201,生物股份,2025-11-28,12.22,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",12.13,11.44,10.16,0.55X
600152,维科技术,2025-11-28,7.66,"价格强势 (高于MA5,MA20,MA60)",7.49,7.56,7.07,1.13X
600686,金龙汽车,2025-11-28,15.97,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",15.51,15.43,13.54,1.23X
600177,雅戈尔,2025-11-28,7.72,"价格强势 (高于MA5,MA20,MA60)",7.62,7.66,7.50,0.77X
601606,长城军工,2025-11-28,52.95,多头排列 (MA5>MA20>MA60),54.49,51.45,51.03,0.64X
603040,新坐标,2025-11-28,77.18,"价格强势 (高于MA5,MA20,MA60)",75.11,75.47,73.01,0.92X
603687,大胜达,2025-11-28,9.1,"价格强势 (高于MA5,MA20,MA60)",8.79,8.93,8.94,0.96X
600388,龙净环保,2025-11-28,15.34,放量上涨 (1.54X),15.69,16.20,14.96,1.54X
600280,中央商场,2025-11-28,3.55,"价格强势 (高于MA5,MA20,MA60)",3.53,3.54,3.49,0.18X
600600,青岛啤酒,2025-11-28,63.55,放量上涨 (1.58X),64.19,65.25,66.58,1.58X
600733,北汽蓝谷,2025-11-28,7.84,放量上涨 (1.60X),7.72,7.93,8.10,1.60X
603008,喜临门,2025-11-28,20.87,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",20.12,18.74,18.13,0.79X
600252,中恒集团,2025-11-28,2.9,"价格强势 (高于MA5,MA20,MA60)",2.81,2.82,2.79,1.18X
600613,神奇制药,2025-11-28,6.86,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",6.78,6.72,6.55,0.83X
603906,龙蟠科技,2025-11-28,20.88,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.83X)",19.09,19.21,17.07,1.83X
600319,亚星化学,2025-11-28,9.75,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",8.90,8.78,8.26,1.44X
600926,杭州银行,2025-11-28,15.59,"价格强势 (高于MA5,MA20,MA60)",15.46,15.55,15.44,1.04X
600986,浙文互联,2025-11-28,9.61,多头排列 (MA5>MA20>MA60),9.75,9.30,8.74,0.58X
605288,凯迪股份,2025-11-28,105.13,"价格强势 (高于MA5,MA20,MA60)",99.02,92.09,93.48,1.04X
601328,交通银行,2025-11-28,7.59,多头排列 (MA5>MA20>MA60),7.65,7.48,7.19,0.95X
600076,康欣新材,2025-11-28,3.05,"价格强势 (高于MA5,MA20,MA60)",2.91,2.97,2.90,1.15X
600475,华光环能,2025-11-28,18.51,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",17.74,17.62,17.34,0.84X
603399,永杉锂业,2025-11-28,11.85,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",11.30,11.29,10.34,0.60X
603281,江瀚新材,2025-11-28,27.65,"价格强势 (高于MA5,MA20,MA60)",27.35,27.60,25.92,0.73X
603711,香飘飘,2025-11-28,14.25,"价格强势 (高于MA5,MA20,MA60)",13.98,14.05,13.52,1.24X
605028,世茂能源,2025-11-28,30.19,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",29.59,28.55,26.81,0.79X
603319,美湖股份,2025-11-28,36.73,放量上涨 (1.59X),35.47,35.10,37.86,1.59X
603353,和顺石油,2025-11-28,33.03,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",29.56,27.57,20.62,0.58X
600642,申能股份,2025-11-28,8.4,多头排列 (MA5>MA20>MA60),8.43,8.38,8.12,0.87X
603816,顾家家居,2025-11-28,31.3,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",30.92,30.59,30.36,0.28X
601366,利群股份,2025-11-28,4.64,"价格强势 (高于MA5,MA20,MA60)",4.57,4.64,4.59,1.25X
600336,澳柯玛,2025-11-28,7.71,多头排列 (MA5>MA20>MA60),7.78,7.49,7.12,0.83X
605299,舒华体育,2025-11-28,10.19,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",10.15,9.88,9.60,0.77X
603738,泰晶科技,2025-11-28,16.04,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",16.04,15.38,15.22,0.43X
600509,天富能源,2025-11-28,8.82,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",8.60,8.59,8.33,1.29X
600218,全柴动力,2025-11-28,11.34,多头排列 (MA5>MA20>MA60),11.43,10.81,9.95,0.69X
